MET2013_chr,pop_total.1,Agriculture,Architecture,"Area, Ethnic, and Civilization Studies",Biology and Life Sciences,Business,Communication Technologies,Communications,Computer and Information Sciences,Construction Services,Cosmetology Services and Culinary Arts,Criminal Justice and Fire Protection,Education Administration and Teaching,Electrical and Mechanic Repairs and Technologies,Engineering,Engineering Technologies,"English Language, Literature, and Composition",Environment and Natural Resources,Family and Consumer Sciences,Fine Arts,History,Interdisciplinary and Multi-Disciplinary Studies (General),Law,Liberal Arts and Humanities,Library Science,Linguistics and Foreign Languages,Mathematics and Statistics,Medical and Health Sciences and Services,Military Technologies,N/A,"Nuclear, Industrial Radiology, and Biological Technologies",Philosophy and Religious Studies,"Physical Fitness, Parks, Recreation, and Leisure",Physical Sciences,Psychology,"Public Affairs, Policy, and Social Work",Social Sciences,Theology and Religious Vocations,Transportation Sciences and Technologies
"Blacksburg-Christiansburg-Radford, VA",179918.875,#N/A,#N/A,#N/A,3.9535081318291057,3.2758693823038763,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.428974400573787,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,92.27737751144815,#N/A,#N/A,#N/A,1.336449214919992,#N/A,#N/A,1.6450903714414224,#N/A,#N/A
"Bloomington, IL",172444,#N/A,#N/A,#N/A,#N/A,3.8386774775688264,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.6077419038161072,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.18675433304703,#N/A,85.8973975442614,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bloomington, IN",142594.875,#N/A,#N/A,#N/A,3.9433950233065374,6.061881047688959,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4060955610023729,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,114.50830763494733,#N/A,#N/A,#N/A,#N/A,3.5960265839021037,#N/A,3.2645180317902858,#N/A,#N/A
"Boise City, ID",670170.375,#N/A,#N/A,#N/A,0.6929807487651874,1.4102772475151284,#N/A,0.683243187520274,#N/A,#N/A,#N/A,#N/A,0.7127232871443648,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8389629609662584,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9348911610287203,#N/A,54.86236395351174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Boston-Cambridge-Newton, MA-NH",4783281.75,0.08801362178028727,0.2662695578660071,0.13083180578435946,2.1682131827754736,5.555812561205722,0.08609796944816066,1.3568732536926769,1.0360642594579896,0.05766674148817911,#N/A,0.7352069727819401,1.097334299692718,#N/A,2.5154000984843274,0.1379929874357107,0.965131839770401,0.3244357370472682,0.1649132972469231,1.6511658568406165,0.7098196842221283,0.31425504098153867,0.058846455327293004,0.19506704994755705,#N/A,0.2588679193115489,0.5632493954869485,1.8204682736679292,#N/A,44.553394128386614,#N/A,0.2532952525082196,0.4329728778517764,0.7940343071130471,2.0715629217370357,0.3067607325525259,2.7451751052656816,0.06310586069166531,#N/A
"Bremerton-Silverdale, WA",257699.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.6380279197492775,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69.16562291241164,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8551886852771189,#N/A,#N/A
"Bridgeport-Stamford-Norwalk, CT",937903.625,#N/A,#N/A,#N/A,0.8683337945695145,4.9575410745102815,#N/A,1.570400937753487,0.48613082056768214,#N/A,#N/A,#N/A,1.191802131624482,#N/A,1.6272995400617145,#N/A,0.7071548115320159,#N/A,#N/A,0.9771477557570577,0.4677358593604655,#N/A,#N/A,0.16650892420217922,#N/A,#N/A,#N/A,0.9800376233899765,#N/A,41.0215131913855,#N/A,#N/A,0.385335637110534,0.3765494045091239,1.3854653399742123,0.3710648819340089,1.8702827601093304,#N/A,#N/A
"Brownsville-Harlingen, TX",417822.875,#N/A,#N/A,#N/A,0.4554777671406821,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.72482046544454,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Buffalo-Cheektowaga-Niagara Falls, NY",1134584,#N/A,#N/A,#N/A,1.3117816309554073,3.369554973482661,#N/A,1.102323221259168,0.5440059613858073,#N/A,#N/A,0.7226329339306429,1.8290367313897042,#N/A,1.4625885024194878,#N/A,0.6272659045212643,#N/A,#N/A,0.6600676215795747,0.5833383607083948,#N/A,#N/A,#N/A,#N/A,#N/A,0.24203581734385524,1.5531357780708672,#N/A,49.646792692308274,#N/A,#N/A,0.46931266056507137,0.622304113850525,1.2936600136074499,#N/A,1.4542570632528617,#N/A,#N/A
"Burlington-South Burlington, VT",215544,#N/A,#N/A,#N/A,2.088201249389757,2.896197515299027,#N/A,1.096246587348404,#N/A,#N/A,#N/A,#N/A,2.125555301093549,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.1071164408738783,#N/A,58.862577121216816,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.7303935147761231,#N/A,#N/A
