cluster,MET2013_chr,pop_total.1,Agriculture,Architecture,"Area, Ethnic, and Civilization Studies",Biology and Life Sciences,Business,Communication Technologies,Communications,Computer and Information Sciences,Construction Services,Cosmetology Services and Culinary Arts,Criminal Justice and Fire Protection,Education Administration and Teaching,Electrical and Mechanic Repairs and Technologies,Engineering,Engineering Technologies,"English Language, Literature, and Composition",Environment and Natural Resources,Family and Consumer Sciences,Fine Arts,History,Interdisciplinary and Multi-Disciplinary Studies (General),Law,Liberal Arts and Humanities,Library Science,Linguistics and Foreign Languages,Mathematics and Statistics,Medical and Health Sciences and Services,Military Technologies,N/A,"Nuclear, Industrial Radiology, and Biological Technologies",Philosophy and Religious Studies,"Physical Fitness, Parks, Recreation, and Leisure",Physical Sciences,Psychology,"Public Affairs, Policy, and Social Work",Social Sciences,Theology and Religious Vocations,Transportation Sciences and Technologies
1,"Columbus, OH",1883976.375,0.2012368422449924,0.11614239300536142,0.09687632250454489,1.4809547317401814,3.43148166370754,0.05465121417209091,1.1609869123867969,0.44979257594791955,0.07543159842174829,0.04429631117008944,0.2956479537425683,1.70477776422928,0,1.5226871165356979,0.16840378840249257,0.5543876803373193,0.12001285219727399,0.19496705625671862,1.1314767212683126,0.2327509271101401,0.22343088543456957,0.003911031579178491,0.049238050275691184,0,0.35369418353324394,0.2943467625844589,1.5595857991780515,0,53.40850440540928,0.015003470837606685,0.06729158177060177,0.38867068383798176,0.386597642181571,1.1228797011819547,0.18965743239210006,1.318538638629464,0.03718039243190112,0.04207660510868545
1,"Dallas-Fort Worth-Arlington, TX",6788127.75,0.1154616485079405,0.0931505264081667,0.043304119160486244,0.8881685474661195,3.2872306543574714,0.012497039044653283,0.9567154028090232,0.49224237347995503,0.02757098780256365,0.00870783021189021,0.27258541654021207,1.0213551848262807,0.007557291012064555,1.164109191238043,0.15008333856156647,0.36589048445199,0.0672923266058327,0.1652613519067612,0.6071382289215438,0.18446165937561174,0.2918012474070298,0.01160778152620066,0.16406913107595084,0.0059330037331678355,0.11165080467490497,0.171133539077364,0.9072712436886832,0.004769039130476406,56.01616918701687,0,0.07283735277928695,0.43806751852324055,0.28616452924565755,0.6350573815028597,0.14411545357092087,0.704114857252787,0.07219369089704714,0.03240705137187421
1,"Denver-Aurora-Lakewood, CO",2795931.125,0.12178205599547642,0.11439705282331365,0.044036181190761525,1.3029173426746223,3.7753095965113013,0.040439934534105194,1.2581563335058543,0.5765211914541303,0.11297339303290907,0.026119776116913504,0.3695558412328683,0.7043491496486001,0.02792714147907939,1.3641889747423894,0.08253667692180497,0.5014369186132576,0.20448696864020177,0.14346631283023942,1.0328806982906749,0.31841874986981034,0.22313125397930555,0.028760857822015373,0.12488634950057043,0.004150584201015057,0.25151906397864526,0.2234563520468002,1.0038411006074557,0,49.227290338337184,0,0.09722228654280177,0.3255510800144228,0.4752809912244736,1.0947731288488518,0.17941683321807161,1.5518346657866604,0.06520504131868203,0.07716242150522062
1,"Detroit-Warren-Dearborn, MI",4230914.125,0.06443443345396314,0.08991391167974011,0.06267970467681178,0.9913831506996229,2.599097365766322,0.03637222340303182,0.8605429513023483,0.31400673318428124,0.024175092067037898,0.01304131493339443,0.32122903167744143,0.7713146501988803,0.003164591404520196,1.5117642272768832,0.1171118631308027,0.2883612909064031,0.08334267440826962,0.11132057512868414,0.51687606399675,0.09109114716553078,0.1360885285410089,0.040843438256747175,0.15583485168550026,0.0013978548984679743,0.07282593193474884,0.1280991446589441,1.2390071335797685,0,52.32187531215267,0,0.054106939255796786,0.3053591673679704,0.3972277699851111,0.7536959203174647,0.2516521876210499,0.7447389182145628,0.018387678141635173,0.03059818000437603
1,"Hartford-West Hartford-East Hartford, CT",1212569,0.19271756574118637,0.09014789707999436,0.06401947704991079,0.9875336079649676,3.3106235573409797,0.05932751240822791,0.9024467386438868,0.5668568604952132,0.07216037928020227,0.04907923725613786,0.46971964996562704,1.2162883107271112,0,1.8041052250176866,0.1049902095191419,0.6151851837858464,0.22715889785479332,0.15584609223727847,0.7880941704260415,0.4303171999981163,0.2010364051024601,0.036269157358867786,0.17726984243090274,0,0.10683214513362523,0.32986841488696994,1.5132669187374834,0,48.70098600243352,0,0.04757946845861344,0.40700727735152953,0.38266432070599493,1.3762447536366527,0.28089761310938743,1.7114302186427919,0.03205597835296647,0.009677603423068363
1,"Houston-The Woodlands-Sugar Land, TX",6349202.625,0.1400971879359356,0.10068027599877706,0.018160393916449597,0.9918710227846455,2.7511193833460275,0.04040150837964358,0.6178446907971152,0.31485082929959196,0.03947247513311865,0.014322967084111227,0.3314785871112243,0.7487403431425617,0.007302030933311102,1.6160964931210404,0.07936251186453645,0.2712583358913464,0.0800451788068423,0.12738686087910206,0.4701906067685891,0.16158498412887162,0.23145432540035246,0.008659694976188041,0.13150366473394715,0,0.07643564563138998,0.17015623745203293,0.9222120445885098,0,57.95382147197307,0,0.05178380611237032,0.37014813876035557,0.4652419184793455,0.5832256192904189,0.06561791715711424,0.67036016900341,0.041444297743313645,0.02721996881955517
1,"Indianapolis-Carmel-Anderson, IN",1945071.25,0.11555708777492678,0.07150154879732129,0.05162979414019991,1.056075615414792,2.91432193154073,0.04139771566135805,1.074498068364861,0.8630667055783621,0.05660752174590007,0,0.39475090194664286,1.57094386965005,0.004624895939841354,1.0675141616916213,0.17517732474167186,0.3410334228540318,0.04383052648960187,0.13410462979713011,0.5995169542087656,0.243335212511015,0.11247951129486948,0.03676200048767029,0.24966663131921113,0,0.11755533630259568,0.11208723594066528,1.309648631006202,0,50.975136713062284,0,0.058061362831554865,0.6217301850766568,0.5742266306416979,1.0208547027517811,0.21866039946175522,0.8824642868553704,0.08201528552700228,0.17034382831211234
1,"Jacksonville, FL",1386524.625,0.04670840541483654,0.03728736411492377,0.012148728420022393,0.46627292732052256,2.4109917932279625,0.01167633625291475,0.7389367809761722,0.3056231702312379,0.010593140185077293,0.03410717701503516,0.4349612026477968,0.9302036072654264,0.008635298943255291,0.7716081582090158,0.042897338111640315,0.35604059766012724,0.11422505085193267,0.1046015311398786,0.5118809456213349,0.20861237054326137,0.1163880775516162,0,0.11669858965015752,0,0.07444013260436605,0.13031970460233874,1.0977923744401228,0,57.24779840643736,0,0.02447709444308666,0.5507382379573806,0.14425582520176838,0.9818228290075087,0.0027132035336762824,0.9859595387477395,0.02164539892059873,0.023699626468636097
1,"Kansas City, MO-KS",2071145.375,0.203417710244769,0.10309080367043362,0.009298176326602257,1.2365264141194787,3.230147200954956,0.03049899795248826,0.8729243201006228,0.7180578662148769,0.10992998658066488,0.01418688364042734,0.3792525322740171,1.4409867093866917,0,1.0624305140336563,0.15613869634000946,0.34294321245006437,0.029375586514813826,0.14273474089332183,0.9509523784431446,0.21089927574394343,0.1359976717558859,0,0.20530524973919534,0,0.11708640905375693,0.1136985062384308,1.284019616098989,0,49.97960431667084,0,0.06820205811030186,0.4258791953202252,0.34733179639502126,0.9511645290083538,0.1919602302040314,0.8021466177388014,0.11041402967603907,0.014356933536057517
1,"Las Vegas-Henderson-Paradise, NV",2061907.5,0.019392054471167777,0.053520936289732854,0.032367158418108666,0.5636673516781457,1.5268348155655684,0.008234404501783733,0.3462377318972697,0.24708029853648547,0.013938149397153494,0.004482090474230135,0.341840452675586,0.5269332231082688,0,0.41569722324179814,0.005797720023839182,0.1567047085675043,0.030157162311383108,0.056741774492236385,0.3218114129851812,0.11524025958953078,0.16532222387802634,0,0.10835061806901947,0.01586534721568274,0.01832148155224774,0.06971864129289627,0.7647180324894891,0,60.61154572534375,0,0.012546753118934724,0.23705308825168714,0.10712984273405139,0.4428513950621356,0.06138421650793817,0.5876412489433912,0.016691959176250038,0
